db_id,record_id,table_name,column_name,column_type,cryptic_name,cryptic_reason,coded_value
doi_10.5061_dryad.1vhhmgr3m,doi:10.5061/dryad.1vhhmgr3m,C01_AASurvey_exemplarydata,TravelDistanceMin,number,False,,True
doi_10.5061_dryad.1vhhmgr3m,doi:10.5061/dryad.1vhhmgr3m,C01_AASurvey_exemplarydata,TravelDistanceMax,number,False,,True
doi_10.5061_dryad.1vhhmgr3m,doi:10.5061/dryad.1vhhmgr3m,C01_AASurvey_exemplarydata,NShortTrips,number,False,,True
doi_10.5061_dryad.1vhhmgr3m,doi:10.5061/dryad.1vhhmgr3m,C01_AASurvey_exemplarydata,NLongTrips,number,False,,True
doi_10.5061_dryad.1vhhmgr3m,doi:10.5061/dryad.1vhhmgr3m,C01_AASurvey_exemplarydata,ReportRateTripsAA,number,False,,True
doi_10.5061_dryad.1vhhmgr3m,doi:10.5061/dryad.1vhhmgr3m,C01_AASurvey_exemplarydata,WBPreference,number,False,,True
doi_10.5061_dryad.1vhhmgr3m,doi:10.5061/dryad.1vhhmgr3m,C01_AASurvey_exemplarydata,BusyOrQuiet,number,False,,True
doi_10.5061_dryad.1vhhmgr3m,doi:10.5061/dryad.1vhhmgr3m,C01_AASurvey_exemplarydata,ShoreOrBoat,number,False,,True
doi_10.5061_dryad.1vhhmgr3m,doi:10.5061/dryad.1vhhmgr3m,C01_AASurvey_exemplarydata,Work,number,False,,True
doi_10.5061_dryad.1vhhmgr3m,doi:10.5061/dryad.1vhhmgr3m,C01_AASurvey_exemplarydata,Vehicle,number,False,,True
doi_10.5061_dryad.1vhhmgr3m,doi:10.5061/dryad.1vhhmgr3m,C01_AASurvey_exemplarydata,Boat,number,False,,True
doi_10.5061_dryad.1vhhmgr3m,doi:10.5061/dryad.1vhhmgr3m,C01_AASurvey_exemplarydata,OceanFishing,number,False,,True
doi_10.5061_dryad.1vhhmgr3m,doi:10.5061/dryad.1vhhmgr3m,C01_AASurvey_exemplarydata,ImpactHotWeather,number,False,,True
doi_10.5061_dryad.1vhhmgr3m,doi:10.5061/dryad.1vhhmgr3m,C01_AASurvey_exemplarydata,ImpactRainyWeather,number,False,,True
